,Russian,English
0,1. Лосось на гриле с апельсиновым соусом и киноа,Grilled salmon with orange sauce and quinoa
1,2. Куриное филе с черным рисом и грибами шиитаке,Chicken fillet with black rice and shiitake mushrooms
2,3. Овощной рататуй с брокколи и перцем,Vegetable ratatouille with broccoli and peppers
3,4. Прошутто с дыней и вялеными томатами,Prosciutto with melon and sun-dried tomatoes
4,5. Тартар из говядины с кедровыми орехами и соусом тартар,Beef tartare with pine nuts and tartar sauce
5,6. Крем-суп из шампинов с трюфельным маслом,Creamy champignon soup with truffle oil
6,7. Котлета из оленины с картофельным пюре и соусом из брусники,Venison cutlet with mashed potatoes and lingonberry sauce
7,8. Фаршированные перцы с рисом и морепродуктами,Stuffed peppers with rice and seafood
8,"9. Капуста, запеченная с чесночным соусом и сырами",Baked cabbage with garlic sauce and cheeses
9,"10. Паста с лососем, шпинатом и сливочным соусом","Pasta with salmon, spinach and creamy sauce"
10,11. Запеченные баклажаны с томатным соусом и фетой,Baked eggplants with tomato sauce and feta cheese
11,12. Чечевица с вялеными помидорами и заправкой из лимона,Lentils with sun-dried tomatoes and lemon dressing
12,13. Пельмени с олениной и черемшой в сливочном соусе,Dumplings with venison and wild garlic in creamy sauce
13,"14. Креветки с чесноком, зеленью и лимонным соусом","Shrimp with garlic, herbs and lemon sauce"
14,15. Каша из гречки с грибами и луком,Buckwheat porridge with mushrooms and onions
15,16. Печеный картофель с креветочной начинкой и соусом тартар,Baked potato stuffed with shrimp and tartar sauce
16,17. Лососевая икра с кукурузными чипсами,Salmon caviar with corn chips
17,"18. Салат с рукколой, грушей и грецкими орехами",Arugula salad with pear and walnuts
18,19. Куриные крылышки в медовом соусе с кунжутом,Chicken wings in honey sauce with sesame
19,20. Охотничья колбаса с вялеными яблоками и горчичным соусом,Hunter's sausage with dried apples and mustard sauce
20,21. Суп-пюре из цветной капусты с сыром и кедровыми орехами,Cauliflower puree soup with cheese and pine nuts
21,22. Брускетта с пастой из оливок и анчоусов,Bruschetta with olive and anchovy paste
22,23. Каша из полбы с овощами и спаржей,Spelt porridge with vegetables and asparagus
23,"24. Салат с капустой, морковью и орехами пекан",Cabbage salad with carrots and pecans
24,25. Десерт из творога с малиновым соусом и орехами,Curd dessert with raspberry sauce and nuts
25,1. Тартар из камчатского краба с авокадо и малиновым соусом,King crab tartare with avocado and raspberry sauce
26,2. Терин из дикого лосося с кедровыми орехами и соусом терияки,Wild salmon terrine with pine nuts and teriyaki sauce
27,3. Филе северного оленя с тыквенным пюре и брусникой,Northen reindeer fillet with pumpkin purée and cranberries
28,4. Сет из местных сыров с сушеной смородиной и грецким орехом,Local cheese platter with dried currants and walnuts
29,5. Лосось с креветочным кремом и свежими огурцами,Salmon with shrimp cream and fresh cucumbers
30,6. Холодец из заливного осетра с пряными травами,Aspic from sturgeon with spicy herbs
31,7. Фаршированные перцы с камчатским крабом и рисом,Stuffed peppers with king crab and rice
32,8. Салат из свежих овощей с сыром и кедровым урбечем,Fresh vegetable salad with cheese and cedar nut butter
33,9. Тюлька в кляре с чесночным соусом и картофельным пюре,Smelt in batter with garlic sauce and mashed potatoes
34,10. Лапша с неркой и соусом из печеных перцев,Noodles with sockeye salmon and roasted pepper sauce
35,11. Фламбе из белого гриба с заварным кремом и кедровыми орехами,Flambé of white mushrooms with custard and pine nuts
36,12. Теплый салат с говядиной Black Angus и маринованными грибами,Warm salad with Black Angus beef and pickled mushrooms
37,13. Креп с неркой и сливочно-сырным соусом,Crepe with sockeye salmon and creamy cheese sauce
38,14. Ризотто с свеклой и морской солью,Beetroot risotto with sea salt
39,15. Уха из северных рыб с картофельными лафферами,Fish soup with northern fish and potato dumplings
40,16. Гуляш из оленины с квашеной капустой и зелёным горошком,Reindeer goulash with sauerkraut and green peas
41,17. Пита с хумусом и печеными овощами,Pita with hummus and roasted vegetables
42,"18. Ягодный десерт с брусникой, черной смородиной и брускеттами из ржаного хлеба","Berry dessert with cranberries, blackcurrant and rye bread bruschetta"
43,19. Медовое суфле с черемуховым джемом,Honey soufflé with bird cherry jam
44,20. Порция жареных овощей с ореховым соусом и кедровыми чипсами,Serving of roasted vegetables with nut sauce and pine chips
45,21. Торт с брусничным кремом и миндальными лепестками,Cake with cranberry cream and almond flakes
46,22. Спагетти с кальмарами и томатным соусом,Spaghetti with squid and tomato sauce
47,23. Очарование из хлеба с мягким сыром и малиновым гелем,Bread delight with soft cheese and raspberry gel
48,24. Запеченная рыба с ореховым соусом и свежими зелеными листьями,Baked fish with nut sauce and fresh green leaves
49,25. Творожная запеканка с черемухой и йогуртовым соусом,Cheese casserole with bird cherry and yogurt sauce
50,Тартар из морского гребешка с юккой и соусом из дикой мяты,Scallop tartare with yukola and wild mint sauce
51,Пельмени с неркой и пюре из сладкого картофеля в томатном соусе,Dumplings with sockeye salmon and sweet potato purée in tomato sauce
52,Печёный картофель с ночной солью и трюфельным кремом,Baked potato with night salt and truffle cream
53,Куриные бёдра с картофелем и грибным соусом с хреном,Chicken thighs with potatoes and horseradish mushroom sauce
54,Закуска из жирного сыра с дикой черемшой и помидорами черри,Appetizer of fatty cheese with wild garlic and cherry tomatoes
55,Филе судака с глазурью из мёда и запечённым цветным капустом,Pike perch fillet with honey glaze and roasted cauliflower
56,Гуляш из дичи с пудингом из белых грибов и соусом из розмарина,Game meat goulash with porcini pudding and rosemary sauce
57,Ризотто с морепродуктами и петрушкой на кедровом масле,Seafood risotto with parsley in pine nut oil
58,Овощное пюре с луком-пореем и вялеными помидорами,Vegetable purée with leeks and sun-dried tomatoes
59,"Печёный цыплёнок с фермерским сыром, руколой и соусом песто","Baked chicken with farm cheese, arugula and pesto sauce"
60,Ракушки с чесноком и креветками в сливочном соусе,Shell pasta with garlic and shrimp in creamy sauce
61,Бефстроганов с грибами и молодым картофелем,Beef stroganoff with mushrooms and baby potatoes
62,"Грибы, запечённые в корзинках с сыром и орехами",Mushrooms baked in baskets with cheese and nuts
63,Теплый салат с бобами и грильованными овощами,Warm salad with beans and grilled vegetables
