,Russian,English,Chinese
0,"Брускетта с рикоттой, кремом авокадо и зеленым салатом с семечками"," Bruschetta with ricotta cheese, avocado cream, lettuce and sunflower seeds",
1,"Салат Панцанелла со страчателлой, маслинами и сырными сухариками с тунцом в собственном соку"," Panzanella salad with stracciatella di bufal, olives, cheese croutons and tuna in its own juice",
2,"Зеленый салат с киви, кабачком, огурцом и зеленым горошком с листьями шпината в заправке цитронет"," Green salad with kiwi, eggplant, cucumber, pees, spinach and citronette dressing",
3,Крудо из свежих лосося и дорадо с томатной сальсой и каперсами," Salmon and dorado crudo, tomato salsa and capers",
4,Орекьетте в фисташковом креме с тигровыми креветками и жареными фисташками," Orecchiette pasta, pistachio crème-sauce, tiger prawns and fried pistachio nuts",
5,Медзи со снежным крабом в соусе неаполетана с домашней страчателлой," Mezzi pasta, snow crab, neapolitan sauce and home-made stracciatella di bufala ",
6,Грудка цыпленка с птитимом и трюфельным муссом пармезан, Chicken breast with ptitim and truffle Parmesan mousse,
7,"Пицца Тунна Кон Чиполла с тунцом, красным луком, маслинами и моцареллой"," Tonno e cipolla pizza with tuna, red onion, olives and mozzarella",
8,"Пицца Перра Пеканте с голубым сыром дор блю, грушой, рукколой и лепестками арахиса"," Pera picante pizza with dorblu cheese, pear, rucola, peanut flakes",
9,Лимонный пирог с кремом маскарпоне и базиликовым мороженым," Lemon pie with mascarpone cream, basil ice cream",
10,Строганина,Stroganina,刨花肉片
11,Нельма ,Nelma,白北鲑
12,Нерка ,Sockeye salmon,红大麻哈鱼卵
13,Оленина ,Venison,鹿肉
14,Северные рыбы,Northern fish ,轻腌北鱼
16,Чир,Broad whitefish,宽鼻白鲑
17,Кижуч ,Atlantic salmon,银大麻哈鱼
18,Нерка  ,Sockeye salmon,红大麻哈鱼
19,Тугун  ,Tugun,图冈白鲑
20,Устрицы,Oysters,牡蛎
21,Устрица,"Oyster served on ice with homemade currant vinegar, ponzu sauce and lemon",冰镇牡蛎配黑醋栗醋、柚子酱和柠檬
22,Икра,Caviar,鱼卵
23,Осетр ,Sturgeon,鲟卵
25,Кижуч  ,Atlantic salmon,银大麻哈鱼卵
26,Хариус,Grayling,茴鱼卵
27,Сыровяленое,Dry-aged delicatessen,干熟肉
28,Коппа из яка  ,Yak сoppa,牦牛头颈肉香肠
29,Сыровяленый марал,Siberian stag,干熟马鹿肉
30,Сыровяленый лось,Elk,干熟驼鹿肉
31,Закуски,Appetizers,开胃菜 
32,"Севиче из нерки с компрессионным огурцом в зеленом соусе на перцах, халапеньо и ряженке с ферментированным крыжовником
 ","Sockeye salmon ceviche with compressed cucumber in green sauce with peppers, jalapenos and  fermented gooseberries"
33,Тартар из хакасской говядины с дегидрированным тувинским яком в картофельной канеле с соусом из печеного перца,Khakass beef tartare with dehydrated Tuvan yak in potato canela with roasted pepper sauce
34,Тартар из корейки косули с тоннато на тугуне на стеклянном хлебе с юколой лося/корзинка с дикой стерлядью и сырным муссом с икрой из зеленого горошка с копченым желтком/ пате из марала в ежевичной глазури ,Roe deer loin tartare with tugun tonatto and elk yukola on glass bread / wild sterlet and cheese mousse tartlet with green pea caviar and smoked yolk / blackberry-glazed siberian stag pâté ,鞑靼狍子排配图冈白鲑酱、玻璃面包​​和干制鹿肉 / 小体鲟馅点心配奶酪慕斯、青豌豆鱼子酱和烟熏蛋黄 / 黑莓釉鹿肉酱
35,Хрустящие камни с сырным кремом на копченом хариусе и юкколой нерки с икрой хариуса ,"Crispy rocks with smoked grayling-cheese cream, nelma yukola and grayling caviar",熏茴鱼奶油奶酪、干红大麻哈鱼、茴鱼卵的脆石
36,Туруханский муксун в остром свекольном креме с маринованными черри и кинзой ,Turukhansk muksun in spicy beetroot cream with pickled cherry tomatoes and cilantro,图鲁汉斯克穆森白鲑配辣甜菜根奶油、腌圣女果和香菜
37,Тартар из оленя на профитролях из тувинского далгана с икрой хариуса ,Deer tartare in Tuva dalgan profiteroles with grayling caviar,鞑靼鹿肉排配图瓦大麦面粉空心咸饼和茴鱼卵
38,Бочковые рыжики со сметанным муссом на хрене и огурцами в укропном масле с маринованным луком ,Forest mushrooms with horseradish sour cream mousse and cucumbers in dill oil with pickled onions,盐渍松乳菇配辣根酸奶油慕斯、黄瓜和腌洋葱加莳萝油
39,"Разные сыры с абанским мёдом, ягодным мармеладом и грецким орехом","Various cheeses with blueberries, local honey, berry marmalade and walnut",各种奶酪配阿班蜂蜜、浆果软糖和核桃
40,"Брускетта с печеным баклажаном, страчателлой и грецким орехом ","Bruschetta with baked eggplant, stracciatella and walnut",意式烤面包配烤茄子、斯特拉奇亚泰拉软质干酪和核桃
41,Брускетта с камчатским крабом и копченым хариусом ,Bruschetta with red king crab and smoked grayling,意式烤面包配帝王蟹和烟熏茴鱼
42,Салаты,Salads,沙拉
43,"Цыплёнок гриль с хрустящими баклажанами и киноа с маринованными томатами и кинзой в соусе чили терияки
",Grilled chicken with crispy eggplant and quinoa with marinated tomatoes and cilantro in teriyaki chili sauce,
44,"Зеленый салат с арбузной редькой и броколи, авокадо, цукини, и разными листьями в медовом винегрете ","Green salad with watermelon radish, broccoli, avocado, zucchini and leaves served with honey vinaigrette",萝卜、西兰花、鳄梨、西葫芦、生菜和蜂蜜油醋汁的绿色沙拉
45,"Стейк-салат с мраморной говядиной  Black Angus с молодым картофелем, битыми огурцами, печеными перцами и разными листьями в горчичном дипе ","Marbled Black Angus beef with baby potatoes, smashed cucumbers, roasted peppers and assorted leaves in a mustard dip",大理石型安格斯牛肉排配新土豆、拍黄瓜、烤菜椒、生菜和芥末酱
46,"Тигровые креветками с  домашней страчателлой, горошком и листьями ромейна с огуречным кетчупом ","Tiger prawns with homemade stracciatella, peas and romaine lettuce served with cucumber ketchup",虎虾配自制斯特拉奇亚泰拉软质干酪、豌豆、罗马生菜和黄瓜番茄酱
47,"Чафан на морковном хумусе с телятиной, вешенками и хрустящим картофелем ","Chafan salad with veal, oyster mushrooms and crispy potatoes on carrot hummus ",胡萝卜鹰嘴豆泥、小牛肉、平菇和脆土豆的沙拉
48,"Черный оливье с камчатским крабом, малосольным лососем и икрой кижуча ","Black Russian salad with red king crab, lightly salted salmon and silver salmon caviar",黑色俄国沙拉配帝王蟹、微咸鲑鱼和银大麻哈鱼卵
49,Супы,Soups,汤
50,"Крем из запеченой в печи тыквы и моркови с имбирем, тигровыми креветками гриль и попкорном из гречки ","Oven baked pumpkin and carrot cream with ginger, grilled tiger prawns and buckwheat popcorn",烤南瓜、胡萝卜和生姜奶油配烤虎虾和荞麦爆米花
51,Уха из северных рыб с с молоками лосося и томатом ,Traditional russian fish soup uha with salmon milt and tomato,北鱼汤配鲑鱼精和番茄
52,"Борщ с копченым гусем, фермерским копченым салом и сметаной","Borscht with smoked duck, traditionally smoked lard, served with sour cream",罗宋汤配熏鹅、熏萨洛和酸奶油
53,Пельмени ,Dumplings ,饺子
54,Черные буузы лотос с острой хакасской бараниной в пряном соусе из трав и ткемали с холодным бульоном кукси ,"Black lotus-shaped buuz with spicy Khakass lamb, spicy herb-tkemali sauce and cold kuksu broth",黑色蒙古包子配辣哈卡斯羊肉、 香草特克马里酱和冷肉汤
55,"Пельмени с дичью в крепком бульоне
из белых грибов",Wild meat dumplings in strong porcini mushrooms broth,野味饺子配浓牛肝菌汤
56,Пельмени из северных рыб в копченом рыбном бульоне с икрой лосося ,Northern fish dumplings in smoked fish broth with salmon caviar,北鱼饺子配熏鱼汤和鲑鱼卵
57,Тувинские чебуреки хуужуры с оленем и бараньим салом в соусе на куруте  ,Tuvan reindeer meat and mutton fat khuushuur with kashk dipping sauce,图瓦合子配鹿羊板油和奶疙瘩酱
58,Пельмени с камчатским крабом и тигровыми креветками в трюфельном голландезе на апельсине ,Dumplings with king crab and tiger prawns in truffle orange hollandaise,帝王蟹和虎虾饺子配松露橙汁荷兰酱
59,Не пельмени,Main course,主菜
60,Фаланга камчатского краба с пюре из печеного яблока и брусники с муссом васаби ,"King crab phalanges, baked apple and lingonberry purée served with wasabi mousse",帝王蟹腿配烤苹果和越橘泥、芥末慕斯
61,"Камчатская нерка в хрустящем кляре с вуалью из креветок и острым соусом из шампанского, водорослями и цветной капустой
","Kamchatka sockeye salmon in crispy batter with a veil of shrimp and spicy champagne sauce, seaweed and cauliflower",北鱼汤配鲑鱼精和番茄
62,Домашняя лапша с магаданскими креветками и белыми грибами в креветочном биске с вяленым желтком  ,"Homemade noodles, Magadan shrimps and porcini mushrooms in shrimp bisque with dried yolk",自制面条，配马加丹虾、牛肝菌、虾法式浓汤和干蛋黄
63,Котлета из дикого кабана со сморчками и белыми грибами с чесночным пюре и бараньим жу ,Wild boar cutlet with morels and porcini mushrooms served with garlic purée and lamb jus,野猪排配羊肚菌、牛肝菌、蒜泥和羊肉汁酱
64,Енисейский сиг в релише из белых грибов и мидий с трюфельной перловкой ,Yenisei whitefish served with mushroom relish and mussels with truffle pearl barley,叶尼塞突唇白鲑配切丁牛肝菌和贻贝、松露大麦米
65,Таймырский палтус в сырной биске из раков с картофельным кремом и молодыми листьями ,"Taimyr halibut garnished with crayfish cheese bisque, potato purée and baby leaves",泰梅尔大比目鱼配小龙虾、奶酪法式浓汤、土豆奶油和嫩生菜
66,Жареный сахалинский гребешок с фуагра и тертой юколой оленя ,Fried Sakhalin scallop with foie gras and finely grated deer yukola,煎萨哈林扇贝配鹅肝和擦干制鹿肉
67,Гриль,Grill,烤菜
68,"Каре хакасского ягненка с молодым картофелем, сморчками и соусом из таежной черемши ","Khakass lamb rack, baby potatoes, morels and Taiga wild garlic sauce",哈卡斯羊腰肉配新土豆、羊肚菌和熊葱酱
69,"Камчатская нерка в грибной глазури с цукини
и шпинатом и соусом из сморчков","Kamchatka sockeye salmon in mushroom glaze with zucchini and spinach, garnished with morel sauce",蘑菇釉堪察加红大麻哈鱼配西葫芦、菠菜和羊肚菌酱
70,"Таймырский олень с глазированнной свеклой, айоли из черемши и чёрного чеснока с порто, костным мозгом и маринованной черешней
","Taimyr deer with glazed beets, wild garlic and black garlic aioli with port, bone marrow and pickled cherries",帝王蟹腿配烤苹果和越橘泥、芥末慕斯
71,Мурманская форель с муссом из копченого лосося и картофелем из печи и огуречным соусом  ,Murmansk trout with smoked salmon mousse and oven-baked potatoes with cucumber sauce,摩尔曼斯克鳟鱼配烟熏鲑鱼慕斯、烤土豆和黄瓜酱
72,Креветки на гриле с пюре манго и песто из петрушки ,Grilled shrimp with mango purée and parsley pesto,烤虾配芒果泥和香芹香蒜酱
73,Стейк Портерхаус Black Angus на компанию  ,Black Angus porterhouse steak for a group,安格斯红屋牛排
74,Стейк стриплойн Black angus с квашеной капустой и брусникой  ,Black Angus striploin steak with sauerkraut and cranberries,安格斯纽约客牛排配酸白菜和越橘
75,Стейк рибай  Black Angus с квашеной капустой и брусникой,Black Angus ribeye steak with sauerkraut and cranberries,安格斯牛肋眼排配酸白菜和越橘
76,Стейк Денвер  Black Angus с квашеной капустой и брусникой ,Black Angus denver steak with sauerkraut and cranberries,安格斯丹佛牛排配酸白菜和越橘
77,Из дровяной печи,Out of wood stove,烧柴炉烤的菜
78,"Фермерская перепелка, фаршированная картофелем и белыми грибами с кедровым орехом, ванильным пюре из сельдерея и маринованной рябиной ","Farm quail stuffed with potatoes, porcini mushrooms and pine nuts, served with vanilla-celery purée and pickled rowanberries",土豆和牛肝菌鹌鹑配雪松果、香子兰芹菜泥和腌花楸果
79,Енисейский ленок с печеной капустой в соусе из шампанского с икрой хариуса,"Yenisei asiatic trout with baked cabbage, champagne sauce and grayling caviar",叶尼塞细鳞鲑配烤卷心菜、茴鱼卵和香槟酱
