,Russian,English
0,1. **Копчёный муксун с картофельным пюре и клюквенным соусом**,Smoked muksun with mashed potatoes and cranberry sauce
1,2. **Суп из диких грибов с копчёным омулем и сметаной**,Wild mushroom soup with smoked omul and sour cream
2,3. **Тартар из щуки с маринованными огурцами и ржаными тостами**,Pike tartare with pickled cucumbers and rye toast
3,4. **Котлета из косули с ягодным соусом и запечённой морковью**,Roe deer cutlet with berry sauce and roasted carrots
4,5. **Рыбник с сигом и копчёным сыром под сметанным кремом**,Fish pie with whitefish and smoked cheese under sour cream glaze
5,6. **Салат из таёжных трав с кедровыми орешками и медовой заправкой**,Taiga herb salad with pine nuts and honey vinaigrette
6,7. **Копчёный чир с салатом из квашеной капусты и яблок**,Smoked broad whitefish with sauerkraut and apple salad
7,8. **Пельмени с мясом лося в сливочном соусе с лесными ягодами**,Elk dumplings in creamy sauce with wild berries
8,9. **Жаркое из кабана с грибами и картофелем в горшочке**,Wild boar roast with mushrooms and potatoes in a clay pot
9,10. **Десерт из морошки с ванильным мороженым и кедровым сиропом**,Cloudberry dessert with vanilla ice cream and pine nut syrup
10,1. **Омуль с копчёным маслом и глазированной репой в соусе из можжевельника**,"Omul with smoked butter, glazed turnip, and juniper sauce"
11,"2. **Тартар из оленины с дымчатым сыром, грушей и вяленой брусникой**","Venison tartare with smoked cheese, pear, and dried lingonberries"
12,3. **Грибной крем-суп из боровиков с трюфельным маслом и хрустящим хлебом из ржаной муки**,Porcini mushroom cream soup with truffle oil and crispy rye bread
13,4. **Копчёный муксун с пюре из сельдерея и соусом на облепихе**,Smoked muksun with celery purée and sea buckthorn sauce
14,"5. **Пельмени с мясом марала и грибным демигласом, подаются с хреном и сметаной**","Maral (Siberian stag) dumplings with mushroom demi-glace, served with horseradish and sour cream"
15,6. **Каре ягнёнка с тушёными корнеплодами и мятным жу**,Lamb rack with braised root vegetables and mint jus
16,7. **Камчатский гребешок с морковным пюре и соусом из шампанского с икрой минтая**,Kamchatka scallop with carrot purée and champagne sauce with pollock caviar
17,"8. **Чёрный рис с копчёным сигом, маринованными огурцами и соусом из зелёного чая**","Black rice with smoked whitefish, pickled cucumbers, and green tea sauce"
18,"9. **Десерт из облепихового мусса, грецкого ореха и карамелизированного яблока**",Sea buckthorn mousse dessert with walnuts and caramelized apple
19,"10. **Утка, запечённая с мёдом и специями, подаётся с тушёной капустой и брусничным соусом**",Honey-glazed roasted duck with braised cabbage and lingonberry sauce
20,1. **Оленина в медово-ягодном глазури с тушеным корневым сельдереем и соусом из черной смородины**,Venison in honey-berry glaze with braised celeriac and blackcurrant sauce.
21,"2. **Запеченный нерка с шалфеем и глазированной морковью, подается с картофельным пюре и джемом из облепихи**","Baked sockeye salmon with sage and glazed carrots, served with mashed potatoes and sea buckthorn jam."
22,"3. **Копченый хариус с кедровым орехом и соусом из белых грибов, подается с тушеной капустой и луком**","Smoked grayling with pine nuts and porcini mushroom sauce, served with braised cabbage and onions."
23,"4. **Строганина из марала с соусом из клюквы и моченой брусники, подается с хрустящим хлебом**","Stroganina of Siberian stag with cranberry sauce and pickled lingonberries, served with crispy bread."
24,"5. **Гриль из цыпленка с медово-чесночным соусом, подается с жареными брюссельской капустой и грецким орехом**","Grilled chicken with honey-garlic sauce, served with roasted Brussels sprouts and walnuts."
25,"6. **Каре ягненка с розмарином и глазированным сельдереем, подается с пюре из топинамбура и соусом из красного вина**","Lamb rack with rosemary and glazed celery, served with Jerusalem artichoke purée and red wine sauce."
26,"7. **Тартар из кижуча с авокадо, кинзой и соусом из маракуйи, подается с хрустящими чипсами из лаваша**","Atlantic salmon tartare with avocado, cilantro, and passionfruit sauce, served with crispy lavash chips."
27,"8. **Запеченный осетр с шафрановым соусом, подается с тушеными овощами и печеным чесноком**","Baked sturgeon with saffron sauce, served with braised vegetables and roasted garlic."
28,"9. **Уха из хариуса с картофелем, морковью и укропом, подается с домашней сметаной и черным хлебом**","Grayling fish soup (uha) with potatoes, carrots, and dill, served with homemade sour cream and rye bread."
29,"10. **Десерт из черной смородины с ванильным мороженым, подается с крошкой из кедрового ореха и медовым сиропом**","Blackcurrant dessert with vanilla ice cream, served with pine nut crumble and honey syrup."
30,1. **Оленина / лесные ягоды / соус из можжевельника**,Venison / wild berries / juniper sauce
31,2. **Тушеная капуста с копчёным гусиным жиром и горчичными семенами**,Braised cabbage with smoked goose fat and mustard seeds
32,3. **Сырный мусс с икрой сига и кедровым орехом**,Cheese mousse with whitefish caviar and pine nuts
33,4. **Рыбный пирог с копчёным лососем и укропным соусом**,Fish pie with smoked salmon and dill sauce
34,5. **Запечённая тыква с мёдом из тайги и кедровым орехом**,Baked pumpkin with taiga honey and pine nuts
35,6. **Костный бульон с корнем лопуха и дикими травами**,Bone broth with burdock root and wild herbs
