,Russian,English
0,"Брускетта с рикоттой, кремом авокадо и зеленым салатом с семечками"," Bruschetta with ricotta cheese, avocado cream, lettuce and sunflower seeds"
1,"Салат Панцанелла со страчателлой, маслинами и сырными сухариками с тунцом в собственном соку"," Panzanella salad with stracciatella di bufal, olives, cheese croutons and tuna in its own juice"
2,"Зеленый салат с киви, кабачком, огурцом и зеленым горошком с листьями шпината в заправке цитронет"," Green salad with kiwi, eggplant, cucumber, pees, spinach and citronette dressing"
3,Крудо из свежих лосося и дорадо с томатной сальсой и каперсами," Salmon and dorado crudo, tomato salsa and capers"
4,Орекьетте в фисташковом креме с тигровыми креветками и жареными фисташками," Orecchiette pasta, pistachio crème-sauce, tiger prawns and fried pistachio nuts"
5,Медзи со снежным крабом в соусе неаполетана с домашней страчателлой," Mezzi pasta, snow crab, neapolitan sauce and home-made stracciatella di bufala "
6,Грудка цыпленка с птитимом и трюфельным муссом пармезан, Chicken breast with ptitim and truffle Parmesan mousse
7,"Пицца Тунна Кон Чиполла с тунцом, красным луком, маслинами и моцареллой"," Tonno e cipolla pizza with tuna, red onion, olives and mozzarella"
8,"Пицца Перра Пеканте с голубым сыром дор блю, грушой, рукколой и лепестками арахиса"," Pera picante pizza with dorblu cheese, pear, rucola, peanut flakes"
9,Лимонный пирог с кремом маскарпоне и базиликовым мороженым," Lemon pie with mascarpone cream, basil ice cream"
10,Строганина,Stroganina
11,Нельма ,Nelma
12,Нерка ,Sockeye salmon
13,Оленина ,Venison
14,Северные рыбы,Northern fish 
15,Чир,Broad whitefish
16,Кижуч ,Atlantic salmon
17,Нерка  ,Sockeye salmon
18,Тугун  ,Tugun
19,Устрицы,Oysters
20,Устрица,"Oyster served on ice with homemade currant vinegar, ponzu sauce and lemon"
21,Икра,Caviar
22,Осетр ,Sturgeon
23,Кижуч  ,Atlantic salmon
24,Хариус,Grayling
25,Сыровяленое,Dry-aged delicatessen
26,Коппа из яка  ,Yak сoppa
27,Сыровяленый марал,Siberian stag
28,Сыровяленый лось,Elk
29,Закуски,Appetizers
30,"Севиче из нерки с компрессионным огурцом в зеленом соусе на перцах, халапеньо и ряженке с ферментированным крыжовником
 ","Sockeye salmon ceviche with compressed cucumber in green sauce with peppers, jalapenos and  fermented gooseberries"
31,Тартар из хакасской говядины с дегидрированным тувинским яком в картофельной канеле с соусом из печеного перца,Khakass beef tartare with dehydrated Tuvan yak in potato canela with roasted pepper sauce
32,Тартар из корейки косули с тоннато на тугуне на стеклянном хлебе с юколой лося/корзинка с дикой стерлядью и сырным муссом с икрой из зеленого горошка с копченым желтком/ пате из марала в ежевичной глазури ,Roe deer loin tartare with tugun tonatto and elk yukola on glass bread / wild sterlet and cheese mousse tartlet with green pea caviar and smoked yolk / blackberry-glazed siberian stag pâté 
33,Хрустящие камни с сырным кремом на копченом хариусе и юкколой нерки с икрой хариуса ,"Crispy rocks with smoked grayling-cheese cream, nelma yukola and grayling caviar"
34,Туруханский муксун в остром свекольном креме с маринованными черри и кинзой ,Turukhansk muksun in spicy beetroot cream with pickled cherry tomatoes and cilantro
35,Тартар из оленя на профитролях из тувинского далгана с икрой хариуса ,Deer tartare in Tuva dalgan profiteroles with grayling caviar
36,Бочковые рыжики со сметанным муссом на хрене и огурцами в укропном масле с маринованным луком ,Forest mushrooms with horseradish sour cream mousse and cucumbers in dill oil with pickled onions
37,"Разные сыры с абанским мёдом, ягодным мармеладом и грецким орехом","Various cheeses with blueberries, local honey, berry marmalade and walnut"
38,"Брускетта с печеным баклажаном, страчателлой и грецким орехом ","Bruschetta with baked eggplant, stracciatella and walnut"
39,Брускетта с камчатским крабом и копченым хариусом ,Bruschetta with red king crab and smoked grayling
40,Салаты,Salads
41,"Цыплёнок гриль с хрустящими баклажанами и киноа с маринованными томатами и кинзой в соусе чили терияки
",Grilled chicken with crispy eggplant and quinoa with marinated tomatoes and cilantro in teriyaki chili sauce
42,"Зеленый салат с арбузной редькой и броколи, авокадо, цукини, и разными листьями в медовом винегрете ","Green salad with watermelon radish, broccoli, avocado, zucchini and leaves served with honey vinaigrette"
43,"Стейк-салат с мраморной говядиной  Black Angus с молодым картофелем, битыми огурцами, печеными перцами и разными листьями в горчичном дипе ","Marbled Black Angus beef with baby potatoes, smashed cucumbers, roasted peppers and assorted leaves in a mustard dip"
44,"Тигровые креветками с  домашней страчателлой, горошком и листьями ромейна с огуречным кетчупом ","Tiger prawns with homemade stracciatella, peas and romaine lettuce served with cucumber ketchup"
45,"Чафан на морковном хумусе с телятиной, вешенками и хрустящим картофелем ","Chafan salad with veal, oyster mushrooms and crispy potatoes on carrot hummus "
46,"Черный оливье с камчатским крабом, малосольным лососем и икрой кижуча ","Black Russian salad with red king crab, lightly salted salmon and silver salmon caviar"
47,Супы,Soups
48,"Крем из запеченой в печи тыквы и моркови с имбирем, тигровыми креветками гриль и попкорном из гречки ","Oven baked pumpkin and carrot cream with ginger, grilled tiger prawns and buckwheat popcorn"
49,Уха из северных рыб с с молоками лосося и томатом ,Traditional russian fish soup uha with salmon milt and tomato
50,"Борщ с копченым гусем, фермерским копченым салом и сметаной","Borscht with smoked duck, traditionally smoked lard, served with sour cream"
51,Пельмени ,Dumplings 
52,Черные буузы лотос с острой хакасской бараниной в пряном соусе из трав и ткемали с холодным бульоном кукси ,"Black lotus-shaped buuz with spicy Khakass lamb, spicy herb-tkemali sauce and cold kuksu broth"
53,"Пельмени с дичью в крепком бульоне
из белых грибов",Wild meat dumplings in strong porcini mushrooms broth
54,Пельмени из северных рыб в копченом рыбном бульоне с икрой лосося ,Northern fish dumplings in smoked fish broth with salmon caviar
55,Тувинские чебуреки хуужуры с оленем и бараньим салом в соусе на куруте  ,Tuvan reindeer meat and mutton fat khuushuur with kashk dipping sauce
56,Пельмени с камчатским крабом и тигровыми креветками в трюфельном голландезе на апельсине ,Dumplings with king crab and tiger prawns in truffle orange hollandaise
57,Не пельмени,Main course
58,Фаланга камчатского краба с пюре из печеного яблока и брусники с муссом васаби ,"King crab phalanges, baked apple and lingonberry purée served with wasabi mousse"
59,"Камчатская нерка в хрустящем кляре с вуалью из креветок и острым соусом из шампанского, водорослями и цветной капустой
","Kamchatka sockeye salmon in crispy batter with a veil of shrimp and spicy champagne sauce, seaweed and cauliflower"
60,Домашняя лапша с магаданскими креветками и белыми грибами в креветочном биске с вяленым желтком  ,"Homemade noodles, Magadan shrimps and porcini mushrooms in shrimp bisque with dried yolk"
61,Котлета из дикого кабана со сморчками и белыми грибами с чесночным пюре и бараньим жу ,Wild boar cutlet with morels and porcini mushrooms served with garlic purée and lamb jus
62,Енисейский сиг в релише из белых грибов и мидий с трюфельной перловкой ,Yenisei whitefish served with mushroom relish and mussels with truffle pearl barley
63,Таймырский палтус в сырной биске из раков с картофельным кремом и молодыми листьями ,"Taimyr halibut garnished with crayfish cheese bisque, potato purée and baby leaves"
64,Жареный сахалинский гребешок с фуагра и тертой юколой оленя ,Fried Sakhalin scallop with foie gras and finely grated deer yukola
65,Гриль,Grill
66,"Каре хакасского ягненка с молодым картофелем, сморчками и соусом из таежной черемши ","Khakass lamb rack, baby potatoes, morels and Taiga wild garlic sauce"
67,"Камчатская нерка в грибной глазури с цукини
и шпинатом и соусом из сморчков","Kamchatka sockeye salmon in mushroom glaze with zucchini and spinach, garnished with morel sauce"
68,"Таймырский олень с глазированнной свеклой, айоли из черемши и чёрного чеснока с порто, костным мозгом и маринованной черешней
","Taimyr deer with glazed beets, wild garlic and black garlic aioli with port, bone marrow and pickled cherries"
69,Мурманская форель с муссом из копченого лосося и картофелем из печи и огуречным соусом  ,Murmansk trout with smoked salmon mousse and oven-baked potatoes with cucumber sauce
70,Креветки на гриле с пюре манго и песто из петрушки ,Grilled shrimp with mango purée and parsley pesto
71,Стейк Портерхаус Black Angus на компанию  ,Black Angus porterhouse steak for a group
72,Стейк стриплойн Black angus с квашеной капустой и брусникой  ,Black Angus striploin steak with sauerkraut and cranberries
73,Стейк рибай  Black Angus с квашеной капустой и брусникой,Black Angus ribeye steak with sauerkraut and cranberries
74,Стейк Денвер  Black Angus с квашеной капустой и брусникой ,Black Angus denver steak with sauerkraut and cranberries
75,Из дровяной печи,Out of wood stove
76,"Фермерская перепелка, фаршированная картофелем и белыми грибами с кедровым орехом, ванильным пюре из сельдерея и маринованной рябиной ","Farm quail stuffed with potatoes, porcini mushrooms and pine nuts, served with vanilla-celery purée and pickled rowanberries"
77,Енисейский ленок с печеной капустой в соусе из шампанского с икрой хариуса,"Yenisei asiatic trout with baked cabbage, champagne sauce and grayling caviar"
78,"Цыплёнок в глазури из трюфельного мёда
с кукурузным муссом и припущенным
шпинатом с кедровым орехом ",Chicken in truffle honey glaze with corn mousse and poached spinach served with pine nuts
79,"Утиная ножка конфи с муссом из подкопчённого топинамбура и чипсами из сезонных корнеплодов
",Duck leg confit with smoked Jerusalem artichoke mousse and seasonal root vegetable chips
80,Овощи,Vegetables
81,Королевские шампиньоны гриль с песто из петрушки на кедровом орехе ,Grilled white mushrooms with parsley pesto sprinkled with pine nuts
82,Авокадо гриль со сметаной и кунжутным релишем ,Grilled avocado with sour cream and sesame relish
83,"Баклажан из печи с терияки, ореховым соусом и страчателлой ",Wood stove baked eggplant garnished with teriyaki and nut sauce with stracciatella
84,Цукини гриль с песто из петрушки на кедровом орехе ,Grilled zucchini with homemade pine tree parsley pesto sauce
85,"Фермерская морковь запечённая по-перуански с кремом из кешью и морковным соусом
",Farmer's carrots baked Peruvian style with cashew cream and carrot sauce
86,Картофель из печи с копчёным сливочным маслом и сметаной ,Baked potatoes with smoked butter and sour cream
87,Брокколи с сырным соусом и черри ,Broccoli with cheese sauce and cherry tomatoes
88,Сладкое,Desserts
89,"Береза-Береза  - березовое мороженое, березовое суфле, березовый гель, березовые чипсы ","Birch dessert of birch ice cream with birch soufflé, birch gel and birch chips"
90,"Шоколадный фондан с мороженым из грецкого ореха, черной смородиной компотэ и горячим ванильным соусом","Chocolate fondant with walnut ice cream, blackcurrant compôte and hot vanilla sauce"
91,"Бордовая Павлова с сорбетом из жимолости и маринованной черешней
",Burgundy Pavlova with honeysuckle sorbet and pickled cherries
92,"Золотая Баба с облепиховым ганешем и таймырской морошкой, брусникой и сусальным золотом","Golden Baba au rhum with sea buckthorn ganache,  Taimyr cloudberries and cranberries wuth golden leaf"
93,Тирамису с кремом на белых грибах и шоколадным бисквитом ,Tiramisu with porcini mushroom cream and chocolate biscuit
94,"Домашний чизкейк с карамелью, черешней, пломбирным кремом и лесными орехами ","Homemade cheesecake with caramel, cherry, ice cream mousse and nuts"
95,Черёмуховый медовик со сметанным кремом на черном кофе ,Bird cherry honey cake with black coffee buttercream and blueberry
96,"Сет конфет ручной работы ""Вкусы Енисейской Сибири"" клюква-биттер, боровики-белый шоколад, пихта-кедровый орех, вяленый марал-темный шоколад","Set of handmade sweets ""Tastes of the Yenisei Siberia"" bitter cranberry / mushrooms-white chocolate / fir-pine nuts / ""Jerked siberian stag"" dark chocolate"
97,К чаю,Tea accompaniment
98,Таежная брусника с абанским медом  и кедровым орехом ,Taiga cranberries with Aban honey and pine nuts
99,Конфета из темного шоколада с вяленой клюквой и кедровым орехом  ,Dark chocolate sweets with dried cranberries and pine nuts
100,Напитки,Beverages
101,Морс ягодный ,Homemade fruit punch
102,Кока-кола,Coca-Cola
103,Тоник,Tonic
104,Вода,Water
105,Сан Бенедетто,San Benedetto still
106,Сан Бенедетто газ,San Benedetto carbonated
107,"Минеральная вода ""Baikal Reserve""  газ",Baikal Reserve carbonated
108,"Природная вода ""Baikal Pearl""  б/г",Baikal Reserve still
109,Сок,Juice
110,Сок на выбор,Bottled juice
111,Фреш морковный,Carrot fresh juice
112,Фреш апельсиновый,Orange fresh juice
